,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date,Chart Appearances,Sp Artist Genres,Sp Album Genres,Sp Album Type,Sp Album Name
0,Cardenales de Nuevo Leon,Cardenales De Nuevo León,Quiero Que Sepas,Quiero Que Sepas,1.0,https://open.spotify.com/track/6onnZzU8DtqJaK4H8AGBE2,2005,6/4/05,Latin,banda || cumbia || grupera || norteno || ranchera || regional mexican,,compilation,Idolos-Clásicos De La Música Norteña
0,Teairra Mari,Teairra Marí,Make Her Feel Good,Make Her Feel Good,1.0,https://open.spotify.com/track/03B0yrE4zrioHjmY05l9xz,2005,6/4/05,"Hot100, RAB",deep pop r&b || hip pop || r&b || urban contemporary,,album,Roc-A-Fella Records Presents Teairra Marí
0,The Game,The Game,Dreams,Dreams,0.0,https://open.spotify.com/track/5F7caGhe84C6ONva5S8yXF,2005,6/4/05,"Hot100, RAB, Rap",gangster rap || hip hop || pop rap || rap || southern hip hop || trap,,album,The Documentary
0,Mike Jones,Mike Jones,Back Then,Back Then,0.0,https://open.spotify.com/track/5krOROgmf8adn3SJzeKLZy,2005,6/4/05,"Hot100, RAB, Rap",dirty south rap || gangster rap || hip hop || pop rap || rap || southern hip hop || trap,,album,Who Is Mike Jones?
0,Lil Rob,Lil Rob,Summer Nights,Summer Nights,0.0,https://open.spotify.com/track/6fVCBBlHif6zfqXAEHKJy8,2005,6/4/05,"Hot100, Rap",chicano rap || g funk || gangster rap || latin hip hop || san diego rap,,album,Twelve Eighteen (Part I)
0,Toby Keith,Toby Keith,As Good As I Once Was,As Good As I Once Was,0.0,https://open.spotify.com/track/7G6l2FtQyRhQgYgut2I6i8,2005,6/4/05,"Country, Hot100",contemporary country || country || country road || oklahoma country,,album,Honkytonk University
0,Omarion,Omarion,Touch,Touch,0.0,https://open.spotify.com/track/29VphGf9Vgmvj9OBFOHZWh,2005,6/4/05,"Hot100, RAB",dance pop || deep pop r&b || hip pop || pop || r&b || rap || southern hip hop || urban contemporary,,album,O
0,Keith Anderson,Keith Anderson,Pickin' Wildflowers,Pickin' Wildflowers,0.0,https://open.spotify.com/track/2GgIDaPLsowybB3WgxLWUj,2005,6/4/05,"Country, Hot100",contemporary country || country || country road || modern country rock || oklahoma country || redneck,,album,Three Chord Country and American Rock & Roll
0,Gwen Stefani,Gwen Stefani,Hollaback Girl,Hollaback Girl,0.0,https://open.spotify.com/track/0LzrhCZFXW94Y8nwtTuRlw,2005,6/4/05,"Hot100, RAB",dance pop || hip pop || pop || post-teen pop || urban contemporary,,album,Love Angel Music Baby (Deluxe Version)
0,Kenny Chesney,Kenny Chesney,Keg In The Closet,Keg in the Closet,0.0,https://open.spotify.com/track/3ggmtswnS5czhEAGDsm6D8,2005,6/4/05,"Country, Hot100",contemporary country || country || country road,,album,When The Sun Goes Down (Deluxe Version)
0,Krystal Meyers,Krystal Meyers,The Way To Begin,The Way To Begin,0.0,https://open.spotify.com/track/6tro6Ll5XrK2WPre9VVS85,2005,6/4/05,Christian,candy pop,,album,Krystal Meyers
0,Shaun Groves,Shaun Groves,Bless The Lord,Bless the Lord,0.0,https://open.spotify.com/track/0LJZkh0yMHMorZRfgPyugy,2005,6/11/05,Christian,christian alternative rock || christian music,,compilation,iWorship: No Boundaries
0,K-Paz De La Sierra,K-Paz De La Sierra,Mi Credo,Mi Credo,0.0,https://open.spotify.com/track/6bAlfC82cMGBV42KaROje8,2005,6/11/05,Latin,banda || cumbia || duranguense || grupera || norteno || regional mexican,,album,Más Capaces Que Nunca
0,Trace Adkins,Trace Adkins,Arlington,Arlington,0.0,https://open.spotify.com/track/1IdQeHmLig1Flat8nHkGo4,2005,6/11/05,Country,contemporary country || country || country road || modern country rock || redneck,,album,Songs About Me
0,Blake Shelton,Blake Shelton,Goodbye Time,Goodbye Time,0.0,https://open.spotify.com/track/1M9qgq0SaZ5OuAeU0GKXif,2005,6/11/05,"Country, Hot100",contemporary country || country || country road || oklahoma country,,album,Blake Shelton's Barn & Grill
